algorithm,delta_t,t_end,N,l[0],l[1],time elapsed
LINKED-CELL,0.000010,5.000000,18,200,200,3.00
LINKED-CELL,0.000010,5.000000,50,200,200,5.00
LINKED-CELL,0.000010,5.000000,128,200,200,11.00
LINKED-CELL,0.000010,5.000000,242,200,200,19.00
LINKED-CELL,0.000010,5.000000,450,200,200,117.00
LINKED-CELL,0.000010,5.000000,185,200,200,15.00
LINKED-CELL,0.000010,5.000000,228,200,200,20.00
LINKED-CELL,0.000010,5.000000,369,200,200,44.00
LINKED-CELL,0.000010,5.000000,481,200,200,125.00
LINKED-CELL,0.000010,1.000000,800,200,200,185.00
LINKED-CELL,0.000010,0.000100,5000,300,300,0.00
LINKED-CELL,0.000010,0.000500,5000,200,200,4.00
LINKED-CELL,0.000010,0.000500,8900,200,200,9.00
LINKED-CELL,0.000010,0.000100,20000,400,400,5.00
LINKED-CELL,0.000010,0.000900,5000,200,200,7.00
LINKED-CELL,0.000010,0.005000,5000,200,200,42.00
LINKED-CELL,0.000010,0.000100,80000,400,400,23.00
LINKED-CELL,0.000010,0.010000,5000,400,400,142.00
LINKED-CELL,0.000010,0.000100,20000,500,500,5.00